Time,DevEUI,Raw,Vbat,Vsystem,Vbus,BootCount,T,RH,P,Light,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2022-12-25T00:02:29Z,"0002cc01000003e9","2250d25595fd383204e6111412622a1746f000000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.07,9.09,100517.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T00:08:25Z,"0002cc01000003e9","2250d256f9fd383204e6111415622c175bf000000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.08,9.12,100527.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T00:14:21Z,"0002cc01000003e9","2250d2585dfd383204e611141a622d1763f000000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.10,9.14,100530.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T00:20:17Z,"0002cc01000003e9","2250d259c1fd383204e611141f622f1771f000000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.12,9.16,100538.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T00:26:13Z,"0002cc01000003e9","2250d25b25fd383204da111424623217790c00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.14,9.17,100548.00,24.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T00:32:09Z,"0002cc01000003e9","2250d25c89fd382e04da11142c62321780f000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.17,9.18,100548.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T00:38:05Z,"0002cc01000003e9","2250d25dedfd383204e611142f6234178f0c00000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.18,9.20,100559.00,6.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T00:44:02Z,"0002cc01000003e9","2250d25f52fd383204e611142f6235179cf000000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.18,9.22,100560.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T00:49:58Z,"0002cc01000003e9","2250d260b6fd383204e611142c623517aa0e00000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.17,9.24,100560.00,14.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T00:55:54Z,"0002cc01000003e9","2250d2621afd383204da11142f623417b1f000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.18,9.25,100558.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T01:01:50Z,"0002cc01000003e9","2250d2637efd382904da111427623417b1f000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.15,9.25,100559.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T01:07:46Z,"0002cc01000003e9","2250d264e2fd383204da111424623417b80e00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.14,9.27,100559.00,7.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T01:13:42Z,"0002cc01000003e9","2250d26646fd383204da11141d623517bf0c00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.11,9.28,100560.00,6.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T01:19:38Z,"0002cc01000003e9","2250d267aafd382904e611141a623417bff000000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.10,9.28,100559.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T01:25:34Z,"0002cc01000003e9","2250d2690efd383204da111418623317bff000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.09,9.28,100555.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T01:31:30Z,"0002cc01000003e9","2250d26a72fd383204da111418623217c50e80000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.09,9.29,100549.00,29.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T01:37:26Z,"0002cc01000003e9","2250d26bd6fd383604da111412623317cc0d00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.07,9.30,100553.00,13.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T01:43:22Z,"0002cc01000003e9","2250d26d3afd383a04da111410623517daf000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.06,9.32,100560.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T01:49:18Z,"0002cc01000003e9","2250d26e9efd383204e611140b623317e1f000000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.04,9.33,100554.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T01:55:15Z,"0002cc01000003e9","2250d27003fd382904da11140b623517e80900000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.04,9.34,100563.00,9.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T02:01:10Z,"0002cc01000003e9","2250d27166fd383204e611140b623617e10a00000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.04,9.33,100564.00,10.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T02:07:07Z,"0002cc01000003e9","2250d272cbfd383a04e2111410623517daf000000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.06,9.32,100560.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T02:13:03Z,"0002cc01000003e9","2250d2742ffd383a04da111410623317daf000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.06,9.32,100554.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T02:18:59Z,"0002cc01000003e9","2250d27593fd383204e6111410623317d30a00000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.06,9.31,100554.00,5.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T02:24:55Z,"0002cc01000003e9","2250d276f7fd383204da111412623417daf000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.07,9.32,100557.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T02:30:51Z,"0002cc01000003e9","2250d2785bfd383204e6111415623217d30a00000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.08,9.31,100548.00,20.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T02:36:47Z,"0002cc01000003e9","2250d279bffd383204e2111412623117d3f000000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.07,9.31,100545.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T02:42:43Z,"0002cc01000003e9","2250d27b23fd383604da11140b623017da0800000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.04,9.32,100541.00,1.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T02:48:39Z,"0002cc01000003e9","2250d27c87fd383a04da111406623117da0f00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.02,9.32,100546.00,15.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T02:54:35Z,"0002cc01000003e9","2250d27debfd383604da11141f622d17e20a80000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.12,9.33,100530.00,21.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T03:00:31Z,"0002cc01000003e9","2250d27f4ffd382904da111429622d17f8f000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.16,9.36,100529.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T03:06:27Z,"0002cc01000003e9","2250d280b3fd383204da111427622e17d4f000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.15,9.31,100535.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T03:12:23Z,"0002cc01000003e9","2250d28217fd382904da11141d622b17dbf000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.11,9.32,100523.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T03:18:19Z,"0002cc01000003e9","2250d2837bfd382904e2111410622d17daf000000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.06,9.32,100529.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T03:24:16Z,"0002cc01000003e9","2250d284e0fd382904da111412622a17e80a00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.07,9.34,100517.00,5.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T03:30:12Z,"0002cc01000003e9","2250d28644fd382904da111410622d17eff000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.06,9.35,100530.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T03:36:08Z,"0002cc01000003e9","2250d287a8fd383204da111408622b17ef0a80000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.03,9.35,100522.00,21.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T03:42:04Z,"0002cc01000003e9","2250d2890cfd382904da11141a622917fe0f00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.10,9.37,100512.00,30.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T03:48:00Z,"0002cc01000003e9","2250d28a70fd382904e611142f622618060c00000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.18,9.38,100503.00,6.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T03:53:56Z,"0002cc01000003e9","2250d28bd4fd382904da111429622817ff0800000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.16,9.37,100509.00,8.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T03:59:52Z,"0002cc01000003e9","2250d28d38fd382904da11141d622817e90b00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.11,9.34,100511.00,11.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T04:05:48Z,"0002cc01000003e9","2250d28e9cfd382904da111412622817eff000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.07,9.35,100511.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T04:11:44Z,"0002cc01000003e9","2250d29000fd382904da111429622a17ff0f00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.16,9.37,100516.00,15.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T04:17:40Z,"0002cc01000003e9","2250d29164fd382904da111427622b17fff000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.15,9.37,100521.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T04:23:36Z,"0002cc01000003e9","2250d292c8fd383204da11141f622a17f0f000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.12,9.35,100517.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T04:29:32Z,"0002cc01000003e9","2250d2942cfd383204da111410622917ef0a00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.06,9.35,100515.00,5.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T04:35:28Z,"0002cc01000003e9","2250d29590fd382904da111424622b17f10a00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.14,9.35,100520.00,10.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T04:41:25Z,"0002cc01000003e9","2250d296f5fd382904e611143e622b17f9f000000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.24,9.36,100522.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T04:47:21Z,"0002cc01000003e9","2250d29859fd383604e6111436622b17f10980000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.21,9.35,100523.00,19.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T04:53:17Z,"0002cc01000003e9","2250d299bdfd382904e2111427622c17dbf000000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.15,9.32,100525.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T04:59:13Z,"0002cc01000003e9","2250d29b21fd383604da11141d622a17dbf000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.11,9.32,100519.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T05:05:09Z,"0002cc01000003e9","2250d29c85fd382904da111422622b17f0f000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.13,9.35,100521.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T05:11:05Z,"0002cc01000003e9","2250d29de9fd382904da11141d622a17e9f000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.11,9.34,100518.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T05:17:01Z,"0002cc01000003e9","2250d29f4dfd382e04da111410622b17cc0c00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.06,9.30,100523.00,24.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T05:22:57Z,"0002cc01000003e9","2250d2a0b1fd382904da111424622b17d40800000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.14,9.31,100520.00,16.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T05:28:53Z,"0002cc01000003e9","2250d2a215fd382904da11142f622c17e2f000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.18,9.33,100524.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T05:34:49Z,"0002cc01000003e9","2250d2a379fd382904da111422622b17cd0800000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.13,9.30,100520.00,1.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T05:40:45Z,"0002cc01000003e9","2250d2a4ddfd382e04da111418622a17bf0b00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.09,9.28,100518.00,11.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T05:46:41Z,"0002cc01000003e9","2250d2a641fd382904da11141a622b17bff000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.10,9.28,100520.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T05:52:37Z,"0002cc01000003e9","2250d2a7a5fd382904da11141a622c17b80800000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.10,9.26,100527.00,1.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T05:58:33Z,"0002cc01000003e9","2250d2a909fd382904da111415622b17b0f000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.08,9.25,100521.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T06:04:30Z,"0002cc01000003e9","2250d2aa6efd382904da11141a622b17940d80000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.10,9.21,100523.00,27.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T06:10:26Z,"0002cc01000003e9","2250d2abd2fd382904e2111436622d179df000000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.21,9.22,100529.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T06:16:22Z,"0002cc01000003e9","2250d2ad36fd382504da11142f622d178ff000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.18,9.20,100528.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T06:22:18Z,"0002cc01000003e9","2250d2ae9afd382e04e211141d622b176a0900000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.11,9.15,100521.00,18.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T06:28:14Z,"0002cc01000003e9","2250d2affefd382504e61114316229176b0c00000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.19,9.15,100512.00,3.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T06:34:10Z,"0002cc01000003e9","2250d2b162fd382904e21114366229176bf000000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.21,9.15,100515.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T06:40:06Z,"0002cc01000003e9","2250d2b2c6fd382504da111429622917410c00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.16,9.08,100512.00,3.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T06:46:02Z,"0002cc01000003e9","2250d2b42afd382504da111422622617320b00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.13,9.06,100501.00,11.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T06:51:58Z,"0002cc01000003e9","2250d2b58efd382904da111429622717480b00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.16,9.09,100505.00,11.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T06:57:54Z,"0002cc01000003e9","2250d2b6f2fd382504e61114226226172b0800000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.13,9.05,100502.00,2.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T07:03:50Z,"0002cc01000003e9","2250d2b856fd382104da1114126224170e0b00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.07,9.01,100494.00,11.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T07:09:46Z,"0002cc01000003e9","2250d2b9bafd382504da11142f622117010c00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.18,8.99,100483.00,3.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T07:15:42Z,"0002cc01000003e9","2250d2bb1efd382504da11145062221703f000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.31,8.99,100486.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T07:21:38Z,"0002cc01000003e9","2250d2bc82fd382904da11144b62251703f000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.29,8.99,100496.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T07:27:35Z,"0002cc01000003e9","2250d2bde7fd382504da111439622316d10900000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.22,8.91,100490.00,9.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T07:33:31Z,"0002cc01000003e9","2250d2bf4bfd382504da111424622216b3f000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.14,8.87,100485.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T07:39:27Z,"0002cc01000003e9","2250d2c0affd382504e211143b622216b40d00000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.23,8.87,100484.00,13.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T07:45:23Z,"0002cc01000003e9","2250d2c213fd382504da111439621f16bbf000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.22,8.88,100474.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T07:51:19Z,"0002cc01000003e9","2250d2c377fd382904da111429621f1698f000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.16,8.83,100474.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T07:57:15Z,"0002cc01000003e9","2250d2c4dbfd382904da111422621c16820a00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.13,8.79,100463.00,5.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T08:03:11Z,"0002cc01000003e9","2250d2c63ffd382504da111436621e168a0800000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.21,8.80,100468.00,2.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T08:09:07Z,"0002cc01000003e9","2250d2c7a3fd382504da111434621f168a0800000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.20,8.80,100472.00,32.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T08:15:03Z,"0002cc01000003e9","2250d2c907fd383204d5111427621b16580d80000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.15,8.73,100459.00,27.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T08:20:59Z,"0002cc01000003e9","2250d2ca6bfd382e04d51114296219165109c0000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.16,8.72,100448.00,39.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T08:26:55Z,"0002cc01000003e9","2250d2cbcffd382504d1111446621b165a0c00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.27,8.73,100458.00,6.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T08:32:51Z,"0002cc01000003e9","2250d2cd33fd382504da11143e621d1660f000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.24,8.74,100464.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T08:38:47Z,"0002cc01000003e9","2250d2ce97fd382504da11142f621e16190c00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.18,8.63,100471.00,3.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T08:44:43Z,"0002cc01000003e9","2250d2cffbfd382504da111429621e16120e00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.16,8.62,100470.00,14.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T08:50:40Z,"0002cc01000003e9","2250d2d160fd382904da1114486221161af000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.28,8.63,100482.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T08:56:36Z,"0002cc01000003e9","2250d2d2c4fd382504da111452622016220e00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.32,8.65,100479.00,28.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T09:02:32Z,"0002cc01000003e9","2250d2d428fd382504da1114436222160cf000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.26,8.61,100487.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T09:08:28Z,"0002cc01000003e9","2250d2d58cfd382504da111431622215cb0900000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.19,8.51,100487.00,18.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T09:14:24Z,"0002cc01000003e9","2250d2d6f0fd382504da111448622115dbf000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.28,8.54,100481.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T09:20:20Z,"0002cc01000003e9","2250d2d854fd382504da111446622015cdf000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.27,8.52,100479.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T09:26:16Z,"0002cc01000003e9","2250d2d9b8fd382504da111436621f15a10c00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.21,8.45,100472.00,3.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T09:32:12Z,"0002cc01000003e9","2250d2db1cfd382504da1114436221159bf000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.26,8.44,100483.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T09:38:08Z,"0002cc01000003e9","2250d2dc80fd382504da111441621f15b7f000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.25,8.48,100472.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T09:44:04Z,"0002cc01000003e9","2250d2dde4fd382904da11143b622015940800000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.23,8.43,100479.00,1.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T09:50:00Z,"0002cc01000003e9","2250d2df48fd382504e2111455621a159c0800000000000000ffffffffffffffffffffffff",3.51,,0.31,17,20.33,8.44,100454.00,2.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T09:55:56Z,"0002cc01000003e9","2250d2e0acfd382504da11146c621b15a4f000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.42,8.45,100456.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T10:01:52Z,"0002cc01000003e9","2250d2e210fd382504da1114626219159d0a00000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.38,8.44,100451.00,5.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T10:07:49Z,"0002cc01000003e9","2250d2e375fd382504da11144b62181563f000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.29,8.35,100444.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T10:13:45Z,"0002cc01000003e9","2250d2e4d9fd381904da111452621a154ff000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.32,8.32,100454.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-25T10:19:41Z,"0002cc01000003e9","2250d2e63dfd382504da111469621e1556f000000000000000ffffffffffffffffffffffff",3.51,,0.30,17,20.41,8.33,100471.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
